expenditure ID,TIF DISTRICT,AREA,DISTRICT EXPIRATION,PROJECT / EXPENDITURE,YEAR,STATUS,AMOUNT,BALANCE,REF
1,105th/Vincennes,South Side,2025-12-31,FY Beginning Cash Balance ,2009,Appropriated,621878,621878,T-111
2,105th/Vincennes,South Side,2025-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,211987,833864,T-111
3,105th/Vincennes,South Side,2025-12-31,Administrative Costs ,2010,Committed,-2752,831112,T-111
4,105th/Vincennes,South Side,2025-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,211987,1043099,T-111
5,105th/Vincennes,South Side,2025-12-31,Administrative Costs ,2011,Committed,-2752,1040347,T-111
6,111th/Kedzie,South Side,2022-09-29,FY Beginning Cash Balance ,2009,Appropriated,1637868,1637868,T- 73
7,111th/Kedzie,South Side,2022-09-29,Terraco RDA initial reimbursement ,2009,Committed,-585000,1052868,T- 73
8,111th/Kedzie,South Side,2022-09-29,Estimated Incremental Property Tax Revenue ,2010,Committed,550000,1602868,T- 73
9,111th/Kedzie,South Side,2022-09-29,Administrative Costs ,2010,Committed,-9000,1593868,T- 73
10,111th/Kedzie,South Side,2022-09-29,Terraco RDA note payment ,2010,Committed,-110000,1483868,T- 73
11,111th/Kedzie,South Side,2022-09-29,Acquisition 4000 W. 111th Street ,2010,Committed,-600000,883868,T- 73
12,111th/Kedzie,South Side,2022-09-29,Estimated Incremental Property Tax Revenue ,2011,Committed,550000,1433868,T- 73
13,111th/Kedzie,South Side,2022-09-29,Administrative Costs ,2011,Committed,-9000,1424868,T- 73
14,111th/Kedzie,South Side,2022-09-29,Terraco RDA note payment ,2011,Committed,-110000,1314868,T- 73
15,111th/Kedzie,South Side,2022-09-29,111th Street / Kedzie Streetscape Master Plan ,2011,Committed,-180000,1134868,T- 73
16,119th/Halsted,South Side,2026-12-31,FY Beginning Cash Balance ,2009,Appropriated,1358411,1358411,T-114
17,119th/Halsted,South Side,2026-12-31,Pre-acquisition Services Account Increase ,2009,Appropriated,-50000,1308411,T-114
18,119th/Halsted,South Side,2026-12-31,Neighborhood Improvement Fund ,2009,Committed,0,1308411,T-114
19,119th/Halsted,South Side,2026-12-31,"Streetlight modifications: 119th, Wentworth to Halsted to Peroria to Morgan ",2009,Committed,-135000,1173411,T-114
20,119th/Halsted,South Side,2026-12-31,"SBIF  (750K auth., 250k remaining) ",2009,Committed,-250000,923411,T-114
21,119th/Halsted,South Side,2026-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,591676,1515087,T-114
22,119th/Halsted,South Side,2026-12-31,Administrative Costs ,2010,Committed,-11200,1503887,T-114
23,119th/Halsted,South Side,2026-12-31,Preferred Halsted RDA note payment ,2010,Committed,-73000,1430887,T-114
