"NAME,C,50","REF,C,10","IND,C,20","TYPE,C,15","USE,C,50","SHOW,N,4,0","NAME_TRIM,C,55","AREA,N,19,11","LEN,N,19,11"
"Lake Calumet Ind. Cord.","T-103","Industrial","Existing","Industrial",1,"Lake Calumet Ind. Cord.",330623996.82,203791.94
"Archer/Central","T- 99","mixed-use","Existing","Mixed-use: See Plan for Details",1,"Archer/Central",8010398.46,53835.86
"Hollywood/Sheridan","T-157","mixed-use","Existing","Mixed-use: Resid/Com/Public/Institut/Open Space",0,"Hollywood/Sheridan",4956961.69,30546.68
"Harrison/Central","T-144","mixed-use","Existing","Mixed-use: Institutional/Residential",0,"Harrison/Central",16565761.87,22033.27
" 95th/Stony Island","T-  8","mixed-use","Existing","Mixed-use:  Commercial/Retail",1,"95th/Stony Island",4209200.94,16311.92
"Fullerton/Milwaukee","T- 87","mixed-use","Existing","Mixed-use: See Plan for Detail",1,"Fullerton/Milwaukee",11083887.99,70660.62
"Greater Southwest Ind. Corrdor","T- 66","Industrial","Existing","Mixed-use:  Industrial/Commercial",1,"Greater Southwest Ind. Corrdor",14165332.93,43661
"79th/Cicero","T-140","Commercial","Existing","Commercial",0,"79th/Cicero",892107.84,3982.58
" 43rd/Damen","T-  3","Industrial","Existing","Industrial",1,"43rd/Damen",1571508.6,7300.48
" 95th/Western","T-  9","mixed-use","Existing","Commercial",1,"95th/Western",2616600.26,20315.38
"111th/Kedzie","T- 73","mixed-use","Existing","Mixed-use:  Residential/Commercial/Institutional",1,"111th/Kedzie",3487491.79,19012.26
"Ohio/Wabash","T-100","mixed-use","Existing","Mixed-use: See Plan for Detail",1,"Ohio/Wabash",158963.86,1600.56
" 89th/State","T- 49","mixed-use","Existing","Mixed-use:  Residential/Commercial",1,"89th/State",1645880.22,5230.64
"Bryn Mawr/Broadway","T- 13","mixed-use","Existing","Mixed-use:  Residential/Commercial",1,"Bryn Mawr/Broadway",1526324.43,10215.31
"Michigan/Cermak","T- 29","mixed-use","Existing","Mixed-use:  Rehab",1,"Michigan/Cermak",1287524.52,8189.17
"Stockyards Industrial Corridor","T- 44","Industrial","Existing","Mixed Use:  Commercial/Industrial",1,"Stockyards Industrial Corridor",11299463.13,28115.4
"Jefferson Park","T- 57","mixed-use","Existing","Commercial",1,"Jefferson Park",3644016.11,21461.64
"Pilsen Industrial Corridor","T- 53","Industrial","Existing","Industrial",1,"Pilsen Industrial Corridor",57906450.63,66010.88
"Lincoln/Belmont/Ashland","T- 28","mixed-use","Existing","Mixed-use:  Residential/Commercial",1,"Lincoln/Belmont/Ashland",314064.86,3213.81
"Chatham Ridge","T- 15","mixed-use","Existing","Mixed-use:  Commercial/Retail",1,"Chatham Ridge",5953299.02,16411.06
"Edgewater","T- 20","mixed-use","Existing","Mixed-use:  Residential/Commercial/Institutional",1,"Edgewater",192660,1784.2
" 72nd/Cicero","T-  6","Industrial","Existing","Industrial",1,"72nd/Cicero",3560847.25,12595.45
"Elston/Armstrong Ind. Corridor","T-153","Industrial","Existing","Industrial",0,"Elston/Armstrong Ind. Corridor",5591542.4,17487.13
"119th & I-57 Redevelopment","T-125","mixed-use","Existing","Mixed-use: Commercial/Residential/Institutional",0,"119th & I-57 Redevelopment",13636213.7,43219.31
"Harlem Industrial Park Conservation Area","T-148","Industrial","Existing","Industrial",0,"Harlem Industrial Park Conservation Area",6642050.57,13290.32
"Pulaski Industrial Corridor","T- 69","Industrial","Existing","Mixed-use:  Industrial/Commercial",1,"Pulaski Industrial Corridor",16656452.35,65770.54
"Midway Industrial Corridor","T- 89","Industrial","Existing","Industrial",1,"Midway Industrial Corridor",16700279.25,41536.53
"Stony Island/Burnside","T- 54","Industrial","Existing","Industrial",1,"Stony Island/Burnside",26720795.39,93968.3
"Clark/Montrose","T- 70","mixed-use","Existing","Mixed-use:  Commercial/Residential",1,"Clark/Montrose",2389765.49,14834.23
"Chicago/Kingsbury","T- 94","Industrial","Existing","Industrial",1,"Chicago/Kingsbury",2190661.22,13588.32
" 47th/Ashland","T-117","mixed-use","Existing","Mixed-use: Residential/Industrial/Commercial",0,"47th/Ashland",14394701.88,52058.55
"West Grand","T- 46","mixed-use","Existing","Commercial",1,"West Grand",129935.95,1632.04
"126th/Torrence","T- 10","Industrial","Existing","Industrial",1,"126th/Torrence",13093044.53,27930.74
"Peterson/Pulaski","T- 91","Industrial","Existing","Industrial",1,"Peterson/Pulaski",6082745.76,15607.8
